Time,Algorithm,Avg_Delay_ms,Avg_Throughput_Mbps,Satisfaction
9:00,MA-DRL,189.54,1058.55,0.4989
9:00,GA,4.18,2648.68,0.9921
9:00,Multi-Beam,65.34,2684.24,0.9375
9:00,Latency-DRL,184.96,1699.53,0.5998
9:00,Throughput-DRL,140.5,1714.9,0.8761
10:00,MA-DRL,177.06,2949.36,0.5844
10:00,GA,4.26,3206.21,0.9921
10:00,Multi-Beam,82.86,2998.92,0.9368
10:00,Latency-DRL,173.13,1669.48,0.5777
10:00,Throughput-DRL,189.22,1144.27,0.6125
11:00,MA-DRL,189.19,1676.82,0.4595
11:00,GA,4.29,3780.92,0.992
11:00,Multi-Beam,62.32,3675.56,0.9197
11:00,Latency-DRL,175.74,2849.12,0.5629
11:00,Throughput-DRL,153.1,3142.24,0.7902
12:00,MA-DRL,197.83,1173.31,0.5134
12:00,GA,4.16,3395.66,0.9921
12:00,Multi-Beam,76.73,3571.44,0.9294
12:00,Latency-DRL,155.7,2726.4,0.6107
12:00,Throughput-DRL,176.16,2464.3,0.7492
13:00,MA-DRL,178.39,2537.63,0.6105
13:00,GA,4.14,3014.71,0.9921
13:00,Multi-Beam,80.41,3058.63,0.9213
13:00,Latency-DRL,178.79,2016.08,0.5802
13:00,Throughput-DRL,183.4,1979.62,0.6727
14:00,MA-DRL,179.54,1029.85,0.6496
14:00,GA,4.2,2643.74,0.9921
14:00,Multi-Beam,62.29,2704.89,0.9394
14:00,Latency-DRL,184.94,1739.24,0.5826
14:00,Throughput-DRL,71.28,2829.96,0.9153
