Traffic_Scale,Algorithm,Avg_Delay_ms,Avg_Throughput_Mbps,Satisfaction
0.6,MA-DRL,169.48,1909.37,0.7552
0.6,GA,4.19,2270.4,0.992
0.6,Multi-Beam,64.44,2312.53,0.9399
0.6,Latency-DRL,183.94,1735.74,0.5843
0.6,Throughput-DRL,152.54,1908.81,0.7505
0.8,MA-DRL,184.18,1471.58,0.6242
0.8,GA,4.24,3019.03,0.9921
0.8,Multi-Beam,81.77,2839.31,0.939
0.8,Latency-DRL,160.13,2601.73,0.6462
0.8,Throughput-DRL,173.26,2487.36,0.7029
1.0,MA-DRL,185.76,2082.62,0.5137
1.0,GA,4.31,3773.84,0.992
1.0,Multi-Beam,61.88,3668.73,0.9202
1.0,Latency-DRL,164.67,2245.42,0.6039
1.0,Throughput-DRL,171.53,2342.59,0.6814
1.2,MA-DRL,176.09,4029.56,0.5586
1.2,GA,4.24,4527.26,0.992
1.2,Multi-Beam,81.18,4011.95,0.8889
1.2,Latency-DRL,175.27,3220.23,0.5759
1.2,Throughput-DRL,163.18,3270.6,0.8224
1.4,MA-DRL,194.74,1890.33,0.397
1.4,GA,4.88,5310.35,0.9909
1.4,Multi-Beam,90.67,3448.37,0.8306
1.4,Latency-DRL,149.85,3828.93,0.6322
1.4,Throughput-DRL,192.89,1548.12,0.658
1.6,MA-DRL,180.44,2856.05,0.4905
1.6,GA,7.87,6063.9,0.9863
1.6,Multi-Beam,78.13,3430.84,0.8111
1.6,Latency-DRL,169.98,3611.66,0.5725
1.6,Throughput-DRL,165.85,4617.92,0.6937
